,districtName,districtCity,lat,lon,name,gradeLevels,rating,percentLowIncome,enrollment,parentRating,numReviews,Asian,African American,Hispanic,White,Two or more races,American Indian/Alaska Native,studentsPerTeacher,Pacific Islander
594,Middlesex County Public Schools,Saluda,37.59211,-76.498016,St. Clare Walker Middle School,6-8,6.0,52%,299,4,10,,20.0,4.0,73.0,3.0,,12.0,
595,Montgomery County Public Schools,Christiansburg,37.125862,-80.371872,Falling Branch Elementary School,PK-5,6.0,46%,520,4,10,1.0,7.0,4.0,83.0,5.0,,12.0,
596,Montgomery County Public Schools,Christiansburg,37.215683,-80.456726,Kipps Elementary School,K-5,6.0,17%,400,4,27,13.0,2.0,6.0,76.0,4.0,,11.0,
597,Montgomery County Public Schools,Christiansburg,37.214737,-80.461357,Blacksburg Middle School,6-8,6.0,19%,904,3,13,8.0,4.0,4.0,79.0,5.0,,14.0,
598,Nelson County Public Schools,Lovingston,37.733265,-78.894829,Nelson Middle School,6-8,6.0,52%,433,4,10,1.0,11.0,6.0,76.0,6.0,,12.0,
599,New Kent County Public Schools,New Kent,37.513805,-76.981934,New Kent Elementary School,PK-5,6.0,27%,795,3,14,1.0,9.0,8.0,74.0,7.0,1.0,13.0,
600,Norfolk City Public Schools,Norfolk,36.935715,-76.258415,Mary Calcott Elementary School,PK-5,6.0,52%,557,4,45,4.0,17.0,16.0,50.0,12.0,,15.0,
601,Norfolk City Public Schools,Norfolk,36.868839,-76.304558,W.H. Taylor Elementary School,PK-5,6.0,37%,351,4,38,3.0,35.0,5.0,50.0,7.0,,16.0,
602,Norton City Public Schools,Norton,36.929928,-82.633408,J.I. Burton High School,8-12,6.0,92%,306,4,4,1.0,8.0,3.0,82.0,7.0,,12.0,
603,Orange County Public Schools,Orange,38.245052,-78.094559,Orange Co. High School,9-12,6.0,34%,1484,3,8,1.0,16.0,7.0,68.0,8.0,,16.0,
604,Orange County Public Schools,Orange,38.298485,-77.831482,Locust Grove Elementary School,3-5,6.0,48%,429,5,16,1.0,11.0,8.0,71.0,8.0,,15.0,
605,Page County Public Schools,Luray,38.563499,-78.610184,Page County High School,9-12,6.0,45%,552,5,8,,1.0,5.0,94.0,1.0,,13.0,
606,Page County Public Schools,Luray,38.728504,-78.421326,Springfield Elementary School,PK-5,6.0,52%,256,5,7,,4.0,2.0,90.0,4.0,,13.0,
607,Patrick County Public Schools,Stuart,36.63192,-80.146301,Hardin Reynolds Elementary School,4-7,6.0,52%,217,0,0,1.0,9.0,8.0,76.0,5.0,,15.0,
608,Pittsylvania County Public Schools,Chatham,36.840553,-79.396774,Chatham Elementary School,PK-5,6.0,66%,232,5,9,1.0,28.0,6.0,66.0,,,13.0,
609,Pittsylvania County Public Schools,Chatham,36.654739,-79.305534,Dan River Middle School,6-8,6.0,61%,517,5,4,,25.0,3.0,69.0,3.0,,12.0,
610,Pittsylvania County Public Schools,Chatham,36.64027,-79.563538,Stony Mill Elementary School,PK-5,6.0,61%,485,5,3,,12.0,11.0,74.0,3.0,,13.0,
611,Pittsylvania County Public Schools,Chatham,36.669495,-79.524529,Tunstall High School,9-12,6.0,41%,948,4,3,1.0,12.0,5.0,80.0,2.0,,15.0,
612,Portsmouth City Public Schools,Portsmouth,36.858097,-76.384384,Churchland Elementary School,K-6,6.0,40%,834,4,21,3.0,46.0,5.0,42.0,4.0,1.0,17.0,
613,Powhatan County Public Schools,Powhatan,37.551483,-77.934418,Powhatan Elementary School,K-5,6.0,19%,545,5,14,1.0,2.0,4.0,90.0,4.0,,14.0,
614,Prince George County Public Schools,Prince George,37.152802,-77.285233,J.E.J. Moore Middle School,6-7,6.0,44%,979,1,15,1.0,33.0,12.0,46.0,7.0,1.0,13.0,1.0
615,Prince William County Public Schools,Manassas,38.787476,-77.506897,C.A. Sinclair Elementary School,PK-5,6.0,78%,748,4,22,9.0,14.0,62.0,12.0,2.0,,15.0,
616,Prince William County Public Schools,Manassas,38.763378,-77.449356,Osbourn Park High School,9-12,6.0,34%,2201,5,34,15.0,16.0,33.0,30.0,5.0,,18.0,
617,Prince William County Public Schools,Manassas,38.651012,-77.280396,Woodbridge Middle School,6-8,6.0,49%,1361,3,68,10.0,22.0,41.0,20.0,7.0,,17.0,
618,Prince William County Public Schools,Manassas,38.685474,-77.326004,Springwoods Elementary School,PK-5,6.0,24%,711,4,64,7.0,23.0,22.0,40.0,8.0,,19.0,1.0
619,Prince William County Public Schools,Manassas,38.621624,-77.343819,A. Henderson Elementary School,PK-5,6.0,26%,820,4,35,9.0,21.0,24.0,36.0,9.0,,16.0,1.0
620,Prince William County Public Schools,Manassas,38.649986,-77.377312,Sharon C. Mcauliffe Elementary School,PK-5,6.0,55%,445,3,21,8.0,16.0,52.0,20.0,4.0,,13.0,
621,Prince William County Public Schools,Manassas,38.685013,-77.335716,Westridge Elementary School,PK-5,6.0,23%,750,4,55,10.0,27.0,12.0,41.0,9.0,1.0,18.0,1.0
622,Prince William County Public Schools,Manassas,38.693394,-77.29805,Antietam Elementary School,PK-5,6.0,33%,675,4,32,9.0,22.0,27.0,35.0,7.0,,16.0,
623,Pulaski County Public Schools,Pulaski,37.15239,-80.56398,Riverlawn Elementary School,PK-5,6.0,82%,385,5,1,2.0,4.0,7.0,79.0,8.0,,15.0,
624,Radford City Public Schools,Radford,37.132195,-80.557297,Belle Heth Elementary School,3-6,6.0,48%,475,5,1,,10.0,5.0,76.0,9.0,,13.0,
625,Radford City Public Schools,Radford,37.135345,-80.568993,Radford High School,9-12,6.0,35%,508,3,9,1.0,9.0,5.0,79.0,6.0,,10.0,
626,Rappahannock County Public Schools,Washington,38.688725,-78.175911,Rappahannock Co. High School,8-12,6.0,27%,359,4,5,,3.0,5.0,87.0,3.0,,21.0,
627,Rappahannock County Public Schools,Washington,38.688725,-78.175911,Rappahannock County Elementary School,PK-7,6.0,40%,492,4,20,,2.0,5.0,84.0,9.0,,13.0,
628,Richmond City Public Schools,Richmond,37.5634,-77.499901,Mary Munford Elementary School,PK-5,6.0,99%,502,5,42,2.0,12.0,6.0,73.0,7.0,,17.0,
629,Richmond City Public Schools,Richmond,37.554386,-77.468033,William Fox Elementary School,PK-5,6.0,99%,511,4,27,3.0,20.0,9.0,62.0,6.0,1.0,19.0,
630,Richmond County Public Schools,Warsaw,37.949074,-76.743484,Rappahannock High School,8-12,6.0,51%,475,3,3,1.0,28.0,9.0,60.0,3.0,,14.0,
631,Richmond County Public Schools,Warsaw,37.947945,-76.745659,Richmond County Elementary School,PK-7,6.0,60%,847,5,1,,26.0,14.0,55.0,5.0,,15.0,
632,Roanoke City Public Schools,Roanoke,37.266277,-79.976822,Virginia Heights Elementary School,PK-5,6.0,99%,322,4,11,10.0,20.0,12.0,54.0,4.0,,13.0,
633,Roanoke County Public Schools,Roanoke,37.2808,-80.139198,Glenvar Middle School,6-8,6.0,28%,451,4,8,2.0,2.0,4.0,90.0,2.0,,17.0,
634,Roanoke County Public Schools,Roanoke,37.199501,-80.072403,Back Creek Elementary School,PK-5,6.0,22%,292,5,14,2.0,1.0,3.0,93.0,2.0,,17.0,
635,Roanoke County Public Schools,Roanoke,37.328499,-79.998901,Northside High School,9-12,6.0,34%,912,5,6,6.0,14.0,7.0,65.0,7.0,,19.0,
636,Roanoke County Public Schools,Roanoke,37.3302,-80.000397,Northside Middle School,6-8,6.0,41%,705,1,7,6.0,16.0,8.0,62.0,6.0,,18.0,
637,Roanoke County Public Schools,Roanoke,37.2463,-80.033699,Oak Grove Elementary School,PK-5,6.0,31%,400,4,17,7.0,8.0,9.0,69.0,6.0,,18.0,
638,Roanoke County Public Schools,Roanoke,37.284,-79.858498,William Byrd High School,9-12,6.0,27%,1057,2,8,2.0,5.0,2.0,87.0,4.0,,18.0,
639,Roanoke County Public Schools,Roanoke,37.284901,-79.860497,William Byrd Middle School,6-8,6.0,35%,809,3,19,2.0,6.0,4.0,84.0,4.0,,17.0,
640,Rockbridge County Public Schools,Lexington,37.781193,-79.43457,Central Elementary School,PK-5,6.0,45%,530,5,3,,3.0,3.0,88.0,3.0,1.0,13.0,
641,Rockbridge County Public Schools,Lexington,37.877155,-79.293777,Fairfield Elementary School,PK-5,6.0,58%,312,5,2,,1.0,8.0,88.0,3.0,,13.0,
642,Rockingham County Public Schools,Harrisonburg,38.371304,-78.735794,Mcgaheysville Elementary School,PK-5,6.0,38%,261,5,6,1.0,3.0,17.0,77.0,2.0,,12.0,
643,Russell County Public Schools,Lebanon,36.871151,-82.296066,Castlewood Elementary School,1-7,6.0,95%,442,3,2,,,2.0,97.0,1.0,,17.0,
644,Salem City Public Schools,Salem,37.285805,-80.056305,G.W. Carver Elementary School,K-5,6.0,54%,438,3,5,3.0,26.0,4.0,63.0,3.0,,12.0,
645,Salem City Public Schools,Salem,37.296783,-80.074509,West Salem Elementary School,K-5,6.0,30%,439,3,9,1.0,6.0,1.0,89.0,3.0,,13.0,
646,Salem City Public Schools,Salem,37.277763,-80.082893,South Salem Elementary School,K-5,6.0,35%,421,4,20,2.0,6.0,4.0,83.0,5.0,,14.0,
647,Scott County Public Schools,Gate City,36.831306,-82.466194,Dungannon Intermediate School,4-7,6.0,91%,68,0,0,,,3.0,97.0,,,9.0,
648,Scott County Public Schools,Gate City,36.640102,-82.569443,Gate City High School,10-12,6.0,46%,492,2,10,1.0,1.0,2.0,94.0,2.0,,15.0,
649,Smyth County Public Schools,Marion,36.80447,-81.672798,Chilhowie Middle School,6-8,6.0,53%,331,4,1,1.0,1.0,4.0,95.0,1.0,,15.0,
650,Smyth County Public Schools,Marion,36.840946,-81.498924,Marion Primary School,PK-5,6.0,90%,359,3,1,2.0,6.0,3.0,90.0,,,14.0,
651,Smyth County Public Schools,Marion,36.878845,-81.763847,Northwood High School,9-12,6.0,63%,281,3,2,1.0,1.0,2.0,96.0,,,11.0,
652,Southampton County Public Schools,Courtland,36.704659,-77.189819,Capron Elementary School,PK-5,6.0,60%,190,5,1,,43.0,3.0,45.0,8.0,1.0,10.0,1.0
653,Southampton County Public Schools,Courtland,36.691338,-76.98455,Riverdale Elementary School,PK-5,6.0,54%,542,4,3,1.0,48.0,1.0,47.0,3.0,,14.0,
654,Southampton County Public Schools,Courtland,36.70113,-77.102554,Southampton Middle School,6-8,6.0,45%,607,1,6,,43.0,2.0,53.0,1.0,,15.0,
655,Spotsylvania County Public Schools,Fredericksburg,38.263695,-77.541252,Battlefield Elementary School,PK-5,6.0,46%,645,3,36,2.0,16.0,25.0,45.0,11.0,,15.0,
656,Stafford County Public Schools,Stafford,38.293968,-77.432457,Ferry Farm Elementary School,PK-5,6.0,32%,637,4,29,2.0,10.0,12.0,68.0,8.0,,15.0,
657,Stafford County Public Schools,Stafford,38.441654,-77.453201,Winding Creek Elementary School,PK-5,6.0,15%,918,4,20,4.0,16.0,20.0,50.0,10.0,1.0,16.0,
658,Stafford County Public Schools,Stafford,38.47681,-77.478714,Rockhill Elementary School,PK-5,6.0,29%,568,4,57,1.0,17.0,19.0,54.0,8.0,,15.0,1.0
659,Staunton City Public Schools,Staunton,38.1637,-79.057091,Thomas C. Mcswain Elementary School,K-5,6.0,42%,427,4,17,,13.0,4.0,71.0,11.0,,14.0,
660,Sussex County Public Schools,Stony Creek,36.919846,-77.257103,Sussex Central Middle School,6-8,6.0,79%,234,0,0,,69.0,6.0,21.0,3.0,,10.0,
661,Tazewell County Public Schools,Tazewell,37.08807,-81.763397,Cedar Bluff Elementary School,PK-5,6.0,51%,427,3,6,,,,99.0,,,20.0,
662,Tazewell County Public Schools,Tazewell,37.252197,-81.279449,Graham Intermediate School,3-5,6.0,55%,280,0,0,1.0,9.0,,83.0,7.0,,15.0,
663,Tazewell County Public Schools,Tazewell,37.237614,-81.271965,Graham High School,9-12,6.0,47%,520,3,4,2.0,5.0,1.0,90.0,3.0,,15.0,
664,VA Beach City Public Schools,Virginia Beach,36.773952,-76.101807,Landstown Elementary School,PK-5,6.0,38%,782,5,11,14.0,22.0,12.0,42.0,9.0,,15.0,1.0
665,VA Beach City Public Schools,Virginia Beach,36.815262,-76.141457,Larkspur Middle School,6-8,6.0,53%,1557,3,61,6.0,35.0,16.0,32.0,10.0,,14.0,1.0
666,VA Beach City Public Schools,Virginia Beach,36.793003,-76.192642,Brandon Middle School,6-8,6.0,44%,1216,2,85,6.0,37.0,11.0,35.0,10.0,,14.0,1.0
667,VA Beach City Public Schools,Virginia Beach,36.804417,-76.211426,College Park Elementary School,PK-5,6.0,70%,550,4,38,4.0,63.0,10.0,14.0,8.0,,13.0,1.0
668,VA Beach City Public Schools,Virginia Beach,36.816383,-76.178955,Fairfield Elementary School,PK-5,6.0,31%,551,4,31,9.0,19.0,7.0,54.0,10.0,,16.0,1.0
669,VA Beach City Public Schools,Virginia Beach,36.87355,-76.028755,First Colonial High School,9-12,6.0,29%,1849,4,55,2.0,17.0,11.0,62.0,7.0,,15.0,
670,VA Beach City Public Schools,Virginia Beach,36.81712,-76.142014,Kempsville Meadows Elementary School,PK-5,6.0,43%,491,5,7,4.0,25.0,13.0,42.0,14.0,,13.0,1.0
671,VA Beach City Public Schools,Virginia Beach,36.867401,-76.036469,Lynnhaven Middle School,6-8,6.0,36%,923,3,48,4.0,17.0,11.0,60.0,8.0,,15.0,
672,VA Beach City Public Schools,Virginia Beach,36.864986,-76.127739,Pembroke Meadows Elementary School,PK-5,6.0,44%,502,5,22,4.0,23.0,13.0,51.0,9.0,,15.0,
673,VA Beach City Public Schools,Virginia Beach,36.846416,-76.121712,Thalia Elementary School,PK-5,6.0,51%,612,4,44,4.0,28.0,13.0,43.0,11.0,,14.0,
674,VA Beach City Public Schools,Virginia Beach,36.851036,-75.985855,Virginia Beach Middle School,6-8,6.0,40%,879,3,21,2.0,21.0,12.0,55.0,10.0,,16.0,
675,VA Beach City Public Schools,Virginia Beach,36.803787,-76.122749,White Oaks Elementary School,PK-5,6.0,55%,601,4,24,3.0,30.0,21.0,33.0,11.0,1.0,17.0,
676,VA Beach City Public Schools,Virginia Beach,36.831554,-76.103004,Windsor Woods Elementary School,PK-5,6.0,52%,385,5,10,3.0,22.0,18.0,47.0,9.0,,11.0,1.0
677,VA Beach City Public Schools,Virginia Beach,36.798298,-76.146034,Indian Lakes Elementary School,PK-5,6.0,41%,603,4,28,6.0,23.0,12.0,47.0,11.0,1.0,15.0,1.0
678,Washington County Public Schools,Abingdon,36.649952,-82.131004,Wallace Middle School,6-8,6.0,49%,480,5,1,,,2.0,93.0,4.0,,14.0,
679,Williamsburg-James City Public Schools,Williamsburg,37.376431,-76.800507,Toano Middle School,6-8,6.0,28%,820,4,27,2.0,16.0,8.0,66.0,8.0,,16.0,
680,Williamsburg-James City Public Schools,Williamsburg,37.364304,-76.769447,Norge Elementary School,PK-5,6.0,48%,635,4,19,4.0,15.0,15.0,55.0,9.0,1.0,18.0,
681,Williamsburg-James City Public Schools,Williamsburg,37.332912,-76.757118,Rawls Byrd Elementary School,PK-5,6.0,51%,517,4,25,2.0,14.0,14.0,57.0,11.0,1.0,17.0,
682,Wise County Public Schools,Wise,36.880543,-82.737701,Union High School,9-12,6.0,52%,678,4,6,,3.0,1.0,96.0,,,14.0,
683,Wythe County Public Schools,Wytheville,36.941223,-81.102417,George Wythe High School,9-12,6.0,47%,441,2,2,1.0,11.0,3.0,82.0,2.0,,14.0,
684,Wythe County Public Schools,Wytheville,36.896183,-81.269402,Rural Retreat High School,9-12,6.0,44%,367,4,4,,1.0,2.0,96.0,2.0,,10.0,
685,York County Public Schools,Yorktown,37.28344,-76.67186,Queens Lake Middle School,6-8,6.0,26%,465,4,19,3.0,19.0,11.0,57.0,10.0,,15.0,1.0
686,York County Public Schools,Yorktown,37.199036,-76.505196,Yorktown Elementary School,PK-5,6.0,47%,662,4,59,3.0,25.0,12.0,45.0,13.0,,15.0,
687,Loudoun County Public Schools,Broadlands,39.038609,-77.490021,Cedar Lane Elementary School,PK-5,6.0,17%,797,4,35,26.0,9.0,15.0,44.0,5.0,1.0,15.0,
688,Montgomery County Public Schools,Christiansburg,37.061401,-80.442596,Auburn Middle School,6-8,6.0,40%,270,3,2,,1.0,4.0,93.0,3.0,,12.0,
689,Nelson County Public Schools,Lovingston,37.945187,-78.837898,Rockfish River Elementary School,PK-5,6.0,54%,358,5,2,1.0,7.0,10.0,75.0,7.0,,13.0,
690,Botetourt County Public Schools,Fincastle,37.428692,-79.928429,Greenfield Elementary School,PK-5,6.0,32%,421,4,21,2.0,2.0,14.0,80.0,2.0,,14.0,
691,Chesapeake Public Schools,Chesapeake,36.759174,-76.226364,Greenbrier Middle School,6-8,6.0,33%,910,3,12,6.0,35.0,12.0,34.0,11.0,,13.0,
692,Hanover County Public Schools,Ashland,37.638149,-77.308472,Pole Green Elementary School,PK-5,6.0,14%,610,5,14,3.0,5.0,4.0,82.0,6.0,,16.0,
693,Prince William County Public Schools,Manassas,38.656937,-77.430573,Louise A. Benton Middle School,6-8,6.0,16%,1434,4,46,6.0,14.0,18.0,55.0,7.0,,17.0,
694,Danville City Public Schools,Danville,36.583855,-79.393456,Galileo Magnet High School,9-12,6.0,98%,295,5,2,5.0,41.0,6.0,44.0,4.0,,10.0,
695,Culpeper County Public Schools,Culpeper,38.486958,-77.991585,Floyd T Binns Middle School,6-8,6.0,52%,781,5,3,1.0,15.0,23.0,53.0,7.0,,15.0,
696,Fairfax County Public Schools,Falls Church,38.946266,-77.404655,Mcnair Elementary School,PK-6,6.0,18%,1377,3,89,67.0,11.0,10.0,11.0,2.0,,15.0,
697,Loudoun County Public Schools,Broadlands,39.083275,-77.569717,Heritage High School,PK-12,6.0,21%,1417,4,42,13.0,8.0,19.0,54.0,6.0,,14.0,
698,Loudoun County Public Schools,Broadlands,39.096268,-77.525475,John W. Tolbert Jr. Elementary School,PK-5,6.0,15%,729,3,35,17.0,9.0,14.0,54.0,7.0,1.0,16.0,
699,Loudoun County Public Schools,Broadlands,39.052681,-77.398438,River Bend Middle School,6-8,6.0,24%,1226,4,34,14.0,10.0,22.0,47.0,5.0,1.0,15.0,
700,Loudoun County Public Schools,Broadlands,39.083603,-77.501183,Seldens Landing Elementary School,PK-5,6.0,8%,783,5,23,17.0,10.0,11.0,54.0,8.0,,18.0,
701,Prince William County Public Schools,Manassas,38.734112,-77.570648,Cedar Point Elementary School,PK-5,6.0,14%,575,4,31,8.0,9.0,17.0,57.0,8.0,1.0,18.0,
702,Prince William County Public Schools,Manassas,38.565193,-77.305832,Swans Creek Elementary School,PK-5,6.0,53%,689,4,22,10.0,52.0,19.0,12.0,6.0,,16.0,
703,Stafford County Public Schools,Stafford,38.483753,-77.435326,Kate Waller Barrett Elementary School,PK-5,6.0,46%,816,4,33,3.0,25.0,29.0,32.0,9.0,1.0,16.0,1.0
704,Newport News City Public Schools,Newport News,37.004009,-76.426491,Achievable Dream Middle/High School,6-12,6.0,83%,439,5,5,,91.0,5.0,1.0,2.0,,17.0,
705,Fairfax County Public Schools,Falls Church,38.745617,-77.168198,Island Creek Elementary School,PK-6,6.0,10%,787,4,35,13.0,16.0,12.0,49.0,10.0,,12.0,
706,Fairfax County Public Schools,Falls Church,38.846027,-77.40789,Powell Elementary School,PK-6,6.0,14%,916,4,30,59.0,7.0,9.0,20.0,5.0,,14.0,
707,Franklin City Public Schools,Franklin,36.677628,-76.928825,Joseph P. King Jr. Middle School,6-8,6.0,97%,243,3,4,1.0,83.0,2.0,12.0,3.0,,11.0,
708,Orange County Public Schools,Orange,38.313286,-77.779831,Locust Grove Middle School,6-8,6.0,32%,593,3,15,1.0,8.0,7.0,75.0,8.0,,15.0,
709,Spotsylvania County Public Schools,Fredericksburg,38.254566,-77.576363,Freedom Middle School,6-8,6.0,35%,769,4,7,3.0,20.0,14.0,55.0,7.0,,17.0,
710,Fairfax County Public Schools,Falls Church,38.717426,-77.238541,South County High School,9-12,6.0,18%,2241,3,56,19.0,20.0,14.0,41.0,5.0,,15.0,
711,Suffolk City Public Schools,Suffolk,36.851055,-76.463303,Creekside Elementary School,PK-5,6.0,47%,947,4,77,2.0,57.0,10.0,25.0,6.0,,17.0,
712,Henrico County Public Schools,Richmond,37.670815,-77.487717,Greenwood Elementary School,PK-5,6.0,44%,611,4,31,12.0,34.0,8.0,40.0,6.0,,17.0,
713,Pulaski County Public Schools,Pulaski,37.077129,-80.754341,Pulaski Elementary School,PK-5,6.0,81%,527,5,1,1.0,7.0,2.0,82.0,8.0,,14.0,
714,Spotsylvania County Public Schools,Fredericksburg,38.295017,-77.575378,Riverbend High School,9-12,6.0,26%,1980,4,48,3.0,14.0,11.0,66.0,5.0,,18.0,
715,Frederick County Public Schools,Winchester,39.124557,-78.14933,Admiral Richard E. Byrd Middle School,6-8,6.0,26%,942,4,19,2.0,6.0,20.0,66.0,6.0,,15.0,
716,Grayson County Public Schools,Independence,36.714439,-80.973534,Fries School,PK-7,6.0,77%,238,3,7,,1.0,8.0,89.0,1.0,,11.0,
717,Halifax County Public Schools,Halifax,36.609764,-78.914154,Cluster Springs Elementary School,K-5,6.0,56%,535,5,1,1.0,21.0,4.0,71.0,3.0,,10.0,
718,Loudoun County Public Schools,Broadlands,38.937057,-77.559525,Arcola Elementary School,PK-5,6.0,6%,1007,4,69,36.0,8.0,9.0,39.0,7.0,1.0,17.0,
719,Loudoun County Public Schools,Broadlands,38.970203,-77.512177,Stone Hill Middle School,6-8,6.0,8%,991,4,32,56.0,8.0,8.0,22.0,5.0,1.0,16.0,
720,Williamsburg-James City Public Schools,Williamsburg,37.334301,-76.805382,Lois Hornsby Middle School,6-8,6.0,18%,945,4,31,2.0,12.0,9.0,69.0,8.0,1.0,16.0,
721,Caroline County Public Schools,Bowling Green,38.019878,-77.531166,Lewis & Clark Elementary School,PK-5,6.0,42%,908,4,26,1.0,20.0,9.0,60.0,9.0,1.0,15.0,
722,Fauquier County Public Schools,Warrenton,38.732307,-77.680923,Kettle Run High School,9-12,6.0,9%,1212,4,10,2.0,6.0,8.0,82.0,3.0,,12.0,
723,Fauquier County Public Schools,Warrenton,38.722698,-77.579597,Greenville Elementary School,PK-5,6.0,10%,534,4,25,1.0,3.0,9.0,80.0,6.0,,17.0,
724,Hanover County Public Schools,Ashland,37.627579,-77.336845,Laurel Meadow Elementary School,PK-5,6.0,25%,606,4,23,2.0,8.0,5.0,80.0,4.0,,13.0,
725,Loudoun County Public Schools,Broadlands,38.971893,-77.528175,Creighton's Corner Elementary School,PK-5,6.0,7%,969,4,97,58.0,5.0,5.0,24.0,5.0,2.0,17.0,
726,Prince William County Public Schools,Manassas,38.859333,-77.645882,Samuel L. Gravely Jr. Elementary School,PK-5,6.0,12%,779,4,44,3.0,6.0,14.0,67.0,8.0,,19.0,1.0
727,Hampton City Public Schools,Hampton,37.011009,-76.367767,Hunter B. Andrews,PK-8,6.0,84%,1125,3,56,1.0,74.0,5.0,12.0,7.0,,12.0,
728,Williamsburg-James City Public Schools,Williamsburg,37.332466,-76.806992,J Blaine Blayton Elementary School,PK-5,6.0,47%,539,4,18,2.0,21.0,6.0,63.0,8.0,,17.0,
729,Loudoun County Public Schools,Broadlands,39.140579,-77.681839,Kenneth W Culbert Elementary School,PK-5,6.0,7%,516,4,4,4.0,2.0,6.0,83.0,5.0,,13.0,
730,Fairfax County Public Schools,Falls Church,38.717407,-77.233238,Laurel Hill Elementary School,PK-6,6.0,18%,914,5,48,27.0,29.0,10.0,27.0,6.0,,14.0,
731,Franklin County Public Schools,Rocky Mount,37.169018,-79.866173,Windy Gap Elementary School,PK-5,6.0,44%,333,4,25,,2.0,4.0,91.0,3.0,,14.0,
732,Loudoun County Public Schools,Broadlands,39.137218,-77.683853,Harmony Middle School,6-8,6.0,7%,1057,3,42,3.0,3.0,7.0,83.0,4.0,1.0,14.0,
733,Campbell County Public Schools,Rustburg,37.052116,-78.944504,Brookneal Elementary School,PK-5,6.0,66%,363,1,9,,27.0,2.0,67.0,3.0,,13.0,
734,Suffolk City Public Schools,Suffolk,36.690521,-76.740105,Pioneer Elementary,PK-5,5.0,46%,639,4,14,,27.0,5.0,62.0,6.0,,16.0,
735,Gloucester County Public Schools,Gloucester,37.362564,-76.521339,Page Middle,6-8,5.0,42%,605,0,0,1.0,7.0,6.0,81.0,5.0,,13.0,
736,Albemarle County Public Schools,Charlottesville,38.162201,-78.489799,Broadus Wood Elementary School,PK-5,5.0,25%,286,4,26,1.0,2.0,5.0,88.0,3.0,,12.0,
737,Albemarle County Public Schools,Charlottesville,38.010601,-78.397003,Stone Robinson Elementary School,PK-5,5.0,30%,451,5,31,4.0,10.0,8.0,71.0,7.0,,12.0,
738,Albemarle County Public Schools,Charlottesville,38.112488,-78.436913,Mortimer Y Sutherland Middle School,6-8,5.0,17%,601,5,7,9.0,9.0,7.0,69.0,6.0,,13.0,
739,Alexandria City Public Schools,Alexandria,38.842102,-77.076996,Charles Barrett Elementary School,PK-5,5.0,33%,503,5,37,2.0,16.0,27.0,50.0,4.0,,10.0,
740,Alleghany County Public Schools,Low Moor,37.813251,-80.07814,Callaghan Elementary School,PK-5,5.0,49%,205,5,1,,1.0,,99.0,,,11.0,
741,Alleghany County Public Schools,Low Moor,37.812801,-79.743599,Sharon Elementary School,PK-5,5.0,54%,200,5,18,1.0,1.0,1.0,95.0,3.0,,11.0,
742,Amelia County Public Schools,Amelia Court House,37.334747,-77.989922,Amelia County Middle School,5-8,5.0,46%,520,3,6,,23.0,6.0,67.0,4.0,1.0,14.0,
